name,military record.organization,military record.rank
"Godley, Leonidas M.",U.S. Army,First Sergeant
"Goettel, Philip",U.S. Army,Private
"Goheen, Charles A.",U.S. Army,First Sergeant
"Golden, Patrick",U.S. Army,Sergeant
"Goldin, Theodore W.",U.S. Army,Private
"Goldsbery, Andrew E.",U.S. Army,Private
"Gomez, Edward",U.S. Marine Corps,Private First Class
"Gonsalves, Harold",U.S. Marine Corps,Private First Class
"Gonzalez, Alfredo",U.S. Marine Corps,Sergeant
"Goodall, Francis H.",U.S. Army,First Sergeant
"Goodman, David",U.S. Army,Private
"Goodman, William E.",U.S. Army,First Lieutenant
"Goodrich, Edwin",U.S. Army,First Lieutenant
"Gordon, Gary I.",U.S. Army,Master Sergeant
"Gordon, Nathan Green",U.S. Navy,Lieutenant
"Gould, Charles G.",U.S. Army,Captain
"Gould, Newton T.",U.S. Army,Private
"Gouraud, George E.",U.S. Army,Captain/aide-de-camp
"Grace, Peter",U.S. Army,Sergeant
"Graham, James A.",U.S. Marine Corps,Captain
"Graham, Robert",U.S. Navy,Landsman
"Graham, Thomas N.",U.S. Army,Second Lieutenant
"Grandstaff, Bruce Alan",U.S. Army,Platoon Sergeant
"Grant, Gabriel",U.S. Army,Surgeon
"Grant, George",U.S. Army,Sergeant
"Grant, Lewis A.",U.S. Army,Colonel
"Graul, William",U.S. Army,Corporal
"Graves, Terrence Collinson",U.S. Marine Corps,Second Lieutenant
"Graves, Thomas J.",U.S. Army,Private
"Gray, John",U.S. Army,Private
"Gray, Robert A.",U.S. Army,Sergeant
"Gray, Ross Franklin",U.S. Marine Corps,Sergeant
"Great Britain, Unknown",U.S. Army,Unknown
"Greaves, Clinton",U.S. Army,Corporal
"Grebe, M.R. William",U.S. Army,Captain
"Green, Francis C.",U.S. Army,Sergeant
"Green, George",U.S. Army,Corporal
"Green, John",U.S. Army,Major
"Greenawalt, Abraham",U.S. Army,Private
"Greene, John",U.S. Navy,Captain of the Forecastle
"Greene, Oliver D.",U.S. Army,Major/Ass. Adjutant General
"Gregg, Joseph O.",U.S. Army,Private
"Greig, Theodore W.",U.S. Army,Second Lieutenant
"Gresham, John C.",U.S. Army,First Lieutenant
"Gresser, Ignatz",U.S. Army,Corporal
"Gribben, James H.",U.S. Army,Lieutenant
"Griffiths, John",U.S. Navy,Captain of the Forecastle
"Grimes, Edward P.",U.S. Army,Sergeant
"Grimshaw, Samuel",U.S. Army,Private
"Grindlay, James G.",U.S. Army,Colonel
"Griswold, Luke M.",U.S. Navy,Ordinary Seaman
"Gross, Samuel",U.S. Marine Corps,Private
"Grueb, George",U.S. Army,Private
"Guenette, Peter M.",U.S. Army,Specialist Fourth Class
"Guerin, Fitz W.",U.S. Army,Private
"Guillen, Ambrosio",U.S. Marine Corps,Staff Sergeant
"Guinn, Thomas",U.S. Army,Private
"Gunther, Jacob",U.S. Army,Corporal
"Gurke, Henry",U.S. Marine Corps,Private First Class
"Gwynne, Nathaniel",U.S. Army,Private
"Hack, Lester G.",U.S. Army,Sergeant
"Haddoo, John",U.S. Army,Corporal
"Hadley, Cornelius M.",U.S. Army,Sergeant
"Hadley, Osgood T.",U.S. Army,Corporal
"Haffee, Edmund",U.S. Navy,Quarter Gunner
"Hagen, Loren D.",U.S. Army,First Lieutenant
"Hagerty, Asel",U.S. Army,Private
"Haight, John H.",U.S. Army,Sergeant
"Haight, Sidney",U.S. Army,Corporal
"Hajiro, Barney F.",U.S. Army,Private
"Haley, James",U.S. Navy,Captain of the Forecastle
"Halford, William",U.S. Navy,Coxswain
"Hall, Francis B.",U.S. Army,Chaplain
"Hall, Henry Seymour",U.S. Army,Captain
"Hall, John",U.S. Army,Private
"Hall, Newton H.",U.S. Army,Corporal
"Hall, William P.",U.S. Army,First Lieutenant
"Hall, William E.",U.S. Navy,"Lieutenant, Junior Grade"
"Hallock, Nathan M.",U.S. Army,Private
"Halstead, William",U.S. Navy,Coxswain
"Halyburton, William David",U.S. Navy,Pharmacist's Mate Second Class
"Ham, Mark G.",U.S. Navy,Carpenter's Mate
"Hamberger, William F.",U.S. Navy,Chief Carpenter's Mate
"Hamilton, Frank",U.S. Army,Private
"Hamilton, Hugh",U.S. Navy,Coxswain
"Hamilton, Mathew H.",U.S. Army,Private
"Hamilton, Richard",U.S. Navy,Coal Heaver
"Hamilton, Thomas W.",U.S. Navy,Quartermaster
"Hammann, Charles Hazeltine",U.S. Navy,Ensign
"Hammel, Henry A.",U.S. Army,Sergeant
"Hammerberg, Owen Francis Patrick",U.S. Navy,Boatswain's Mate Second Class
"Hammond, Francis C.",U.S. Navy,Hospital Corpsman
"Hand, Allexander",U.S. Navy,Quartermaster
"Handran, John",U.S. Navy,Seaman
"Haney, Milton L.",U.S. Army,Chaplain
"Hanford, Burke",U.S. Navy,Machinist First Class
"Hanford, Edward R.",U.S. Army,Private
"Hanks, Joseph",U.S. Army,Private
"Hanley, Richard P.",U.S. Army,Sergeant
"Hanna, Marcus A.",U.S. Army,Sergeant
"Hanna, Milton",U.S. Army,Corporal
"Hanscom, Moses C.",U.S. Army,Corporal
"Hansen, Dale Merlin",U.S. Marine Corps,Private
"Hansen, Hans A.",U.S. Navy,Seaman
"Hanson, Robert Murray",U.S. Marine Corps,First Lieutenant
"Hapeman, Douglas",U.S. Army,Lieutenant Colonel
"Harbourne, John H.",U.S. Army,Private
"Harcourt, Thomas",U.S. Navy,Ordinary Seaman
"Hardaway, Benjamin F.",U.S. Army,First Lieutenant
"Hardenbergh, Henry M.",U.S. Army,Private
"Harding, Mosher A.",U.S. Army,Blacksmith
"Harding, Thomas",U.S. Navy,Captain of the Forecastle
"Haring, Abram P.",U.S. Army,First Lieutenant
"Harley, Bernard",U.S. Navy,Ordinary Seaman
"Harmon, Amzi D.",U.S. Army,Corporal
"Harrell, William George",U.S. Marine Corps,Sergeant
"Harrington, Daniel",U.S. Navy,Landsman
"Harrington, David",U.S. Navy,First Class Fireman
"Harrington, Ephraim W.",U.S. Army,Sergeant
"Harrington, John",U.S. Army,Private
"Harris, Charles D.",U.S. Army,Sergeant
"Harris, David W.",U.S. Army,Private
"Harris, George W.",U.S. Army,Private
"Harris, James H.",U.S. Army,Sergeant
"Harris, John",U.S. Navy,Captain of the Forecastle
"Harris, Moses",U.S. Army,First Lieutenant
"Harris, Sampson",U.S. Army,Private
"Harris, William M.",U.S. Army,Private
"Harrison, George H.",U.S. Navy,Seaman
"Hart, John W.",U.S. Army,Sergeant
"Hart, William E.",U.S. Army,Private
"Hart, William",U.S. Navy,Machinist First Class
"Hartranft, John F.",U.S. Army,Colonel
"Hartsock, Robert W.",U.S. Army,Staff Sergeant
"Hartzog, Joshija B.",U.S. Army,Private
"Harvey, Carmel Bernon",U.S. Army,Specialist Fourth Class
"Harvey, Harry",U.S. Army,Corporal
"Harvey, Harry",U.S. Marine Corps,Sergeant
"Hasemoto, Mikio",U.S. Army,Private
"Haskell, Frank W.",U.S. Army,Sergeant
"Haskell, Marcus M.",U.S. Army,Sergeant
"Hastings, Smith H.",U.S. Army,Captain
"Hatch, John P.",U.S. Army,Brigadier General
"Hathaway, Edward W.",U.S. Navy,Seaman
"Hauge, Louis James,",U.S. Marine Corps,Corporal
"Haupt, Paul",U.S. Army,Corporal
"Havron, John H.",U.S. Navy,Sergeant
"Hawkins, Charles",U.S. Navy,Seaman
"Hawkins, Gardner C.",U.S. Army,First Lieutenant
"Hawkins, Martin J.",U.S. Army,Corporal
"Hawkins, Thomas R.",U.S. Army,Sergeant Major
"Hawkins, William Dean",U.S. Marine Corps,First Lieutenant
"Hawthorne, Harris S.",U.S. Army,Corporal
"Hawthorne, Harry L.",U.S. Army,Second Lieutenant
"Hay, Fred S.",U.S. Army,Sergeant
"Hayashi, Joe",U.S. Army,Private
"Hayashi, Shizuya",U.S. Army,Private
"Hayden, Cyrus",U.S. Navy,Carpenter
"Hayden, David E.",U.S. Navy,Hospital Apprentice First Class
"Hayden, John",U.S. Navy,Apprentice
"Hayden, Joseph B.",U.S. Navy,Quartermaster
"Hayes, John",U.S. Navy,Coxswain
"Hayes, Thomas",U.S. Navy,Coxswain
"Haynes, Asbury F.",U.S. Army,Corporal
"Hays, John H.",U.S. Army,Private
"Healey, George W.",U.S. Army,Private
"Heard, John W.",U.S. Army,First Lieutenant
"Heartery, Richard",U.S. Army,Principal Musician
"Hedges, Joseph",U.S. Army,First Lieutenant
"Heermance, William L.",U.S. Army,Captain
"Heise, Clamor",U.S. Army,Private
"Heller, Henry",U.S. Army,Sergeant
"Helms, David H.",U.S. Army,Private
"Helms, John Henry",U.S. Marine Corps,Sergeant
"Henderson, Joseph",U.S. Army,Sergeant
"Hendrickson, Henry",U.S. Navy,Seaman
"Henry, Guy V.",U.S. Army,Colonel
"Henry, James",U.S. Army,Sergeant
"Henry, William W.",U.S. Army,Colonel
"Herington, Pitt B.",U.S. Army,Private
"Herring, Rufus G.",U.S. Navy,Lieutenant
"Herron, Francis J.",U.S. Army,Lieutenant Colonel
"Herron, Leander",U.S. Army,Corporal
"Hesseltine, Francis S.",U.S. Army,Colonel
"Heyl, Charles H.",U.S. Army,Second Lieutenant
"Hibson, Joseph C.",U.S. Army,Private
"Hickey, Dennis W.",U.S. Army,Sergeant
"Hickman, John",U.S. Navy,Second Class Fireman
"Hickok, Nathan E.",U.S. Army,Corporal
"Higby, Charles",U.S. Army,Private
"Higgins, Thomas J.",U.S. Army,Sergeant
"Higgins, Thomas P.",U.S. Army,Private
"High, Frank C.",U.S. Army,Private
"Highland, Patrick",U.S. Army,Corporal
"Hill, Edward",U.S. Army,Captain
"Hill, Edwin Joseph",U.S. Navy,Chief Boatswain
"Hill, Frank E.",U.S. Army,Sergeant
"Hill, Frank",U.S. Marine Corps,Private
"Hill, George",U.S. Navy,Chief Quarter Gunner
"Hill, Henry",U.S. Army,Corporal
"Hill, James",U.S. Army,First Lieutenant
"Hill, James",U.S. Army,Sergeant
"Hill, James M.",U.S. Army,First Sergeant
"Hill, William L.",U.S. Navy,Captain of the Top
"Hilliker, Benjamin F.",U.S. Army,Musician
"Hillock, Marvin C.",U.S. Army,Private
"Hills, William G.",U.S. Army,Private
"Hilton, Alfred B.",U.S. Army,Sergeant
"Himmelsback, Michael",U.S. Army,Private
"Hincks, William B.",U.S. Army,Sergeant Major
"Hinemann, Lehmann",U.S. Army,Sergeant
"Hinnegan, William",U.S. Navy,Second Class Fireman
"Hoban, Thomas",U.S. Navy,Coxswain
"Hobday, George",U.S. Army,Private
"Hoffman, Henry",U.S. Army,Corporal
"Hoffman, Thomas W.",U.S. Army,Captain
"Hogan, Franklin",U.S. Army,Corporal
"Hogan, Henry",U.S. Army,First Sergeant
"Hogarty, William P.",U.S. Army,Private
"Holcomb, Daniel",U.S. Army,Private
"Holcomb, John Noble",U.S. Army,Sergeant
"Holden, Henry",U.S. Army,Private
"Holehouse, James",U.S. Army,Private
"Holland, David",U.S. Army,Corporal
"Holland, Lemuel F.",U.S. Army,Corporal
"Holland, Milton M.",U.S. Army,Sergeant Major
"Hollat, George",U.S. Navy,Third Class Boy
"Holmes, Lovilo N.",U.S. Army,First Sergeant
"Holmes, William T.",U.S. Army,Private
"Holt, George",U.S. Navy,Quarter Gunner
"Holton, Charles M.",U.S. Army,First Sergeant
"Holton, Edward A.",U.S. Army,First Sergeant
"Holyoke, William E.",U.S. Navy,Boatswain's Mate First Class
"Homan, Conrad",U.S. Army,Color Sergeant
"Hooker, George W.",U.S. Army,First Lieutenant
"Hooker, George",U.S. Army,Private
"Hooper, Joe R.",U.S. Army,Staff Sergeant
"Hooper, William B.",U.S. Army,Corporal
"Hoover, Samuel",U.S. Army,Bugler
"Hopkins, Charles F.",U.S. Army,Corporal
"Horan, Thomas",U.S. Army,Sergeant
"Hornaday, Elisha Simpson",U.S. Army,Private
"Horne, Samuel B.",U.S. Army,Captain
"Horsfall, William H.",U.S. Army,Drummer
"Horton, James",U.S. Navy,Gunner's Mate
"Horton, James",U.S. Navy,Captain of the Top
"Horton, Lewis A.",U.S. Navy,Seaman
"Horton, William Charlie",U.S. Marine Corps,Private
"Hosking, Charles Ernest",U.S. Army,Master Sergeant
"Hottenstine, Solomon J.",U.S. Army,Private
"Hough, Ira",U.S. Army,Private
"Houghton, Charles H.",U.S. Army,Captain
"Houghton, Edward J.",U.S. Navy,Ordinary Seaman
"Houghton, George L.",U.S. Army,Private
"Houlton, William",U.S. Army,Commissary Sergeant
"Howard, Henderson C.",U.S. Army,Corporal
"Howard, Hiram R.",U.S. Army,Private
"Howard, James",U.S. Army,Sergeant
"Howard, Jimmie E.",U.S. Marine Corps,Gunnery Sergeant
"Howard, Martin",U.S. Navy,Landsman
"Howard, Oliver O.",U.S. Army,Brigadier General
"Howard, Peter",U.S. Navy,Boatswain's Mate
"Howard, Robert L.",U.S. Army,First Lieutenant
"Howard, Squire E.",U.S. Army,First Sergeant
"Howe, James D.",U.S. Marine Corps,Lance Corporal
"Howe, Orion P.",U.S. Army,Musician
"Howe, William H.",U.S. Army,Sergeant
"Howze, Robert L.",U.S. Army,Second Lieutenant
"Hubbard, Thomas",U.S. Army,Private
"Hubbell, William S.",U.S. Army,Captain
"Huber, William Russel",U.S. Navy,Machinist's Mate
"Hudson, Aaron R.",U.S. Army,Private
"Hudson, Michael",U.S. Marine Corps,Sergeant
"Huff, James W.",U.S. Army,Private
"Huggins, Eli L.",U.S. Army,Captain
"Hughes, Oliver",U.S. Army,Corporal
"Hughey, John",U.S. Army,Corporal
"Hulbert, Henry Lewis",U.S. Marine Corps,Private
"Hull, James L.",U.S. Navy,Fireman First Class
"Humphrey, Charles F.",U.S. Army,First Lieutenant
"Hunt, Fred O.",U.S. Army,Private
"Hunt, Louis T.",U.S. Army,Private
"Hunt, Martin",U.S. Marine Corps,Private
"Hunter, Charles A.",U.S. Army,Sergeant
"Hunterson, John C.",U.S. Army,Private
"Huntsman, John A.",U.S. Army,Sergeant
"Huskey, Michael",U.S. Navy,Fireman
"Hutchins, Carlton Barmore",U.S. Navy,Lieutenant
"Hutchins, Johnnie David",U.S. Navy,Seaman First Class
"Hutchinson, Rufus D.",U.S. Army,Sergeant
"Hyatt, Theodore",U.S. Army,First Sergeant
"Hyde, Henry J.",U.S. Army,Sergeant
"Hyde, Thomas W.",U.S. Army,Major
"Hyland, John",U.S. Navy,Seaman
"Hymer, Samuel",U.S. Army,Captain
"Iams, Ross Lindsey",U.S. Marine Corps,Sergeant
"Ilgenfritz, Charles H.",U.S. Army,Sergeant
"Immell, Lorenzo D.",U.S. Army,Corporal
"Ingalls, George Alan",U.S. Army,Specialist Fourth Class
"Ingalls, Lewis J.",U.S. Army,Private
"Ingram, Osmond K.",U.S. Navy,Gunner's Mate First Class
"Inscho, Leonidas H.",U.S. Army,Corporal
"Irlam, Joseph",U.S. Navy,Seaman
"Irsch, Francis",U.S. Army,Captain
"Irving, John",U.S. Navy,Coxswain
"Irving, Thomas",U.S. Navy,Coxswain
"Irwin, Bernard J. D.",U.S. Army,Assistant Surgeon
"Irwin, Nicholas",U.S. Navy,Seaman
"Irwin, Patrick",U.S. Army,First Sergeant
"Italy, Unknown",U.S. Army,Unknown
"Itrich, Franz Anton",U.S. Navy,Chief Carpenter's Mate
"Izac, Edouard Victor Michel",U.S. Navy,Lieutenant
"Jackson, Frederick R.",U.S. Army,First Sergeant
"Jackson, James",U.S. Army,Captain
"Jacobson, Douglas Thomas",U.S. Marine Corps,Private First Class
"Jacobson, Eugene P.",U.S. Army,Sergeant Major
"James, Isaac",U.S. Army,Private
"James, John H.",U.S. Navy,Captain of the Top
"James, John",U.S. Army,Corporal
"James, Miles",U.S. Army,Corporal
"James, Willy F.",U.S. Army,Private First Class
"Jamieson, Walter",U.S. Army,First Sergeant
"Jardine, Alexander",U.S. Navy,Fireman First Class
"Jardine, James",U.S. Army,Sergeant
"Jarvis, Frederick",U.S. Army,Sergeant
"Jellison, Benjamin H.",U.S. Army,Sergeant
"Jenkins, Robert H.",U.S. Marine Corps,Private First Class
"Jenkins, Thomas",U.S. Navy,Seaman
"Jennings, Delbert O.",U.S. Army,Staff Sergeant
"Jennings, James T.",U.S. Army,Private
"Jetter, Bernhard",U.S. Army,Sergeant
"Jewett, Erastus W.",U.S. Army,First Lieutenant
"Jim, N/A",U.S. Army,Sergeant
"Jimenez, Jose Francisco",U.S. Marine Corps,Lance Corporal
"Johanson, John P.",U.S. Navy,Seaman
"Johansson, Johan J.",U.S. Navy,Ordinary Seaman
"John, William",U.S. Army,Private
"Johndro, Franklin",U.S. Army,Private
"Johns, Elisha",U.S. Army,Corporal
"Johns, Henry T.",U.S. Army,Private
"Johnsen, Hans",U.S. Navy,Chief Machinist
"Johnson, Andrew",U.S. Army,Private
"Johnson, Dwight H.",U.S. Army,Specialist Fifth Class
"Johnson, Follett",U.S. Army,Corporal
"Johnson, Henry",U.S. Navy,Seaman
"Johnson, Henry",U.S. Army,Sergeant
"Johnson, James E.",U.S. Marine Corps,Sergeant
"Johnson, John",U.S. Army,Private
"Johnson, John",U.S. Navy,Seaman
"Johnson, Joseph E.",U.S. Army,First Lieutenant
"Johnson, Ralph H.",U.S. Marine Corps,Private First Class
"Johnson, Ruel M.",U.S. Army,Major
"Johnson, Samuel",U.S. Army,Private
"Johnson, Wallace W.",U.S. Army,Sergeant
"Johnson, William",U.S. Navy,Cooper
"Johnston, David",U.S. Army,Private
"Johnston, Donald R.",U.S. Army,Specialist Fourth Class
"Johnston, Edward",U.S. Army,Corporal
"Johnston, William P.",U.S. Navy,Landsman
"Johnston, Willie",U.S. Army,Musician
"Jones, Andrew",U.S. Navy,Chief Boatswain's Mate
"Jones, David",U.S. Army,Private
"Jones, Herbert Charpoit",U.S. Navy,Ensign
"Jones, John",U.S. Navy,Landsman
"Jones, John E.",U.S. Navy,Quartermaster
"Jones, Thomas",U.S. Navy,Coxswain
"Jones, William",U.S. Navy,Captain of the Top
"Jones, William",U.S. Army,First Sergeant
"Jones, William H.",U.S. Army,Farrier
"Jones, William A. Iii",U.S. Air Force,Colonel
"Jordan, Absalom",U.S. Army,Corporal
"Jordan, George",U.S. Army,Sergeant
"Jordan, Robert",U.S. Navy,Coxswain
"Jordan, Thomas",U.S. Navy,Quartermaster
"Josselyn, Simeon T.",U.S. Army,First Lieutenant
"Judge, Francis W.",U.S. Army,First Sergeant
"Julian, Joseph Rodolph",U.S. Marine Corps,Platoon Sergeant
"Kaiser, John",U.S. Army,Sergeant
"Kaltenbach, Luther",U.S. Army,Corporal
"Kane, John",U.S. Army,Corporal
"Kane, Thomas",U.S. Navy,Captain of the Hold
"Kappesser, Peter",U.S. Army,Private
"Karopczyc, Stephen Edward",U.S. Army,First Lieutenant
"Karpeles, Leopold",U.S. Army,Sergeant
"Kates, Thomas Wilbur",U.S. Marine Corps,Private
"Kauss, August",U.S. Army,Corporal
"Kawamura, Terry Teruo",U.S. Army,Corporal
"Kay, John",U.S. Army,Private
"Kays, Kenneth Michael",U.S. Army,Private First Class
"Kearney, Michael",U.S. Marine Corps,Private
"Keating, Daniel",U.S. Army,Corporal
"Kedenburg, John J.",U.S. Army,Specialist Fifth Class
"Keefer, Philip B.",U.S. Navy,Coppersmith
"Keele, Joseph",U.S. Army,Sergeant Major
"Keen, Joseph S.",U.S. Army,Sergeant
"Keenan, Bartholomew T.",U.S. Army,Trumpeter
"Keenan, John",U.S. Army,Private
"Keene, Joseph",U.S. Army,Private
"Kefurt, Gus",U.S. Army,Staff Sergeant
"Keith, Miguel",U.S. Marine Corps,Lance Corporal
"Keller, Leonard B.",U.S. Army,Sergeant
"Keller, William",U.S. Army,Private
"Kelley, Andrew J.",U.S. Army,Private
"Kelley, Charles",U.S. Army,Private
"Kelley, George V.",U.S. Army,Captain
"Kelley, John",U.S. Navy,Second Class Fireman
"Kelley, Leverett M.",U.S. Army,Sergeant
"Kelly, Alexander",U.S. Army,First Sergeant
"Kelly, Daniel",U.S. Army,Sergeant
"Kelly, Francis",U.S. Navy,Watertender
"Kelly, John J. H.",U.S. Army,Corporal
"Kelly, John D.",U.S. Marine Corps,Private First Class
"Kelly, Thomas",U.S. Army,Private
"Kelly, Thomas",U.S. Army,Private
"Kelly, Thomas",U.S. Army,Private
"Kelsay, N/A",U.S. Army,Scout
"Kelso, Jack William",U.S. Marine Corps,Private First Class
"Kemp, Joseph",U.S. Army,First Sergeant
"Kendall, William W.",U.S. Army,First Sergeant
"Kendrick, Thomas",U.S. Navy,Coxswain
"Kenna, Barnett",U.S. Navy,Quartermaster
"Kennedy, John",U.S. Army,Private
"Kennedy, John T.",U.S. Army,Second Lieutenant
"Kennedy, Philip",U.S. Army,Private
"Kennemore, Robert S.",U.S. Marine Corps,Staff Sergeant
"Kenyon, Charles",U.S. Navy,Fireman
"Kenyon, John S.",U.S. Army,Sergeant
"Kenyon, Samuel P.",U.S. Army,Private
"Keough, John",U.S. Army,Corporal
"Kephart, James",U.S. Army,Private
"Keppler, Reinhardt John",U.S. Navy,Boatswain's Mate First Class
"Kerr, John B.",U.S. Army,Captain
"Kerr, Thomas R.",U.S. Army,Captain
"Kerrigan, Thomas",U.S. Army,Sergeant
"Kersey, Thomas",U.S. Navy,Ordinary Seaman
"Kidd, Isaac Campbell",U.S. Navy,Rear Admiral
"Kiggins, John",U.S. Army,Sergeant
"Killackey, Joseph",U.S. Navy,Landsman
"Kilmartin, John",U.S. Army,Private
"Kilmer, John E.",U.S. Navy,Hospital Corpsman
"Kimball, Joseph",U.S. Army,Private
"Kindig, John M.",U.S. Army,Corporal
"King, Horatio C.",U.S. Army,Major/Quartermaster
"King, Hugh",U.S. Navy,Ordinary Seaman
"King, John",U.S. Navy,Watertender
"King, Robert H.",U.S. Navy,Landsman
"King, Rufus,",U.S. Army,First Lieutenant
"Kinnaird, Samuel W.",U.S. Navy,Landsman
"Kinser, Elbert Luther",U.S. Marine Corps,Sergeant
"Kinsey, John",U.S. Army,Corporal
"Kirby, Dennis T.",U.S. Army,Major
"Kirk, John",U.S. Army,First Sergeant
"Kirk, Jonathan C.",U.S. Army,Captain
"Kirkwood, John A.",U.S. Army,Sergeant
"Kitchen, George K.",U.S. Army,Sergeant
"Kline, Harry",U.S. Army,Private
"Kloth, Charles H.",U.S. Army,Private
"Knaak, Albert",U.S. Army,Private
"Knight, Charles H.",U.S. Army,Corporal
"Knight, Joseph F.",U.S. Army,Sergeant
"Knight, William J.",U.S. Army,Private
"Knowles, Abiather J.",U.S. Army,Private
"Knox, Edward M.",U.S. Army,Second Lieutenant
"Knox, John W.",U.S. Army,Sergeant
"Koelpin, William",U.S. Army,Sergeant
"Koelsch, John Kelvin",U.S. Navy,Lieutenant
"Koogle, Jacob",U.S. Army,First Lieutenant
"Korea, Unknown",U.S. Army,Unknown
"Kosoha, N/A",U.S. Army,Scout
"Kountz, John S.",U.S. Army,Musician
"Kramer, Franz",U.S. Navy,Seaman
"Kramer, Theodore L.",U.S. Army,Private
"Kraus, Richard Edward",U.S. Marine Corps,Private First Class
"Krause, Ernest",U.S. Navy,Coxswain
"Kreher, Wendelin",U.S. Army,First Sergeant
"Kretsinger, George",U.S. Army,Private
"Kuchneister, Hermann William",U.S. Marine Corps,Private
"Kuder, Andrew",U.S. Army,Second Lieutenant
"Kuder, Jeremiah",U.S. Army,Lieutenant
"Kuroda, Robert T.",U.S. Army,Staff Sergeant
"Kyle, John",U.S. Army,Corporal
"Kyle, Patrick J.",U.S. Navy,Landsman
"La Belle, James Dennis",U.S. Marine Corps,Private First Class
"Labill, Joseph S.",U.S. Army,Private
"Ladd, George",U.S. Army,Private
"Lafferty, John",U.S. Navy,Fireman
"Laffey, Bartlett",U.S. Navy,Seaman
"Laing, William",U.S. Army,Sergeant
"Lakin, Daniel",U.S. Navy,Seaman
"Lakin, Thomas",U.S. Navy,Seaman
"Lambers, Paul Ronald",U.S. Army,Staff Sergeant
"Landis, James P.",U.S. Army,Chief Bugler
"Lane, Morgan D.",U.S. Army,Private
"Lanfare, Aaron S.",U.S. Army,First Lieutenant
"Lang, George C.",U.S. Army,Specialist Fourth Class
"Langbein, J.C. Julius",U.S. Army,Musician
"Langhorn, Garfield M.",U.S. Army,Private First Class
"Lann, John S.",U.S. Navy,Landsman
"Lapointe, Joseph G.",U.S. Army,Specialist Fourth Class
"Larimer, Smith",U.S. Army,Corporal
"Larkin, David",U.S. Army,Farrier
"Larrabee, James W.",U.S. Army,Corporal
"Lassen, Clyde Everett",U.S. Navy,Lieutenant
"Lauffer, Billy Lane",U.S. Army,Private First Class
"Laverty, John",U.S. Navy,First Class Fireman
"Law, Robert D.",U.S. Army,Specialist Fourth Class
"Lawrence, James",U.S. Army,Private
"Lawson, Gaines",U.S. Army,First Sergeant
"Lawson, John",U.S. Navy,Landsman
"Lawton, Henry W.",U.S. Army,Captain
"Lawton, John S.",U.S. Army,Sergeant
"Lear, Nicholas",U.S. Navy,Quartermaster
"Lee, Fitz",U.S. Army,Private
"Lee, James H.",U.S. Navy,Seaman
"Lee, Milton A.",U.S. Army,Private First Class
"Leims, John Harold",U.S. Marine Corps,Second Lieutenant
"Leisy, Robert Ronald",U.S. Army,Second Lieutenant
"Lejeune, Emile",U.S. Navy,Seaman
"Leland, George W.",U.S. Navy,Gunner's Mate
"Lenihan, James",U.S. Army,Private
"Leon, Pierre",U.S. Navy,Captain of the Forecastle
"Leonard, Edwin",U.S. Army,Sergeant
"Leonard, Joseph",U.S. Marine Corps,Private
"Leonard, Matthew",U.S. Army,Sergeant
"Leonard, Patrick J.",U.S. Army,Sergeant
"Leonard, Patrick T.",U.S. Army,Corporal
"Leonard, William E.",U.S. Army,Private
"Leonard, William",U.S. Army,Private
"Leslie, Frank",U.S. Army,Private
"Lester, Fred Faulkner",U.S. Navy,Hospital Apprentice First Class
"Levery, William",U.S. Navy,Apprentice First Class
"Levitow, John L.",U.S. Air Force,Sergeant
"Levy, Benjamin",U.S. Army,Private
"Lewis, Dewitt Clinton",U.S. Army,Captain
"Lewis, Samuel E.",U.S. Army,Corporal
"Lewis, William B.",U.S. Army,Sergeant
"Libaire, Adolphe",U.S. Army,Captain
"Lilley, John",U.S. Army,Private
"Little, Henry F. W.",U.S. Army,Sergeant
"Little, Thomas",U.S. Army,Bugler
"Littlefield, George H.",U.S. Army,Corporal
"Littleton, Herbert A.",U.S. Marine Corps,Private First Class
"Littrell, Gary Lee",U.S. Army,Sergeant First Class
"Livingston, Josiah O.",U.S. Army,First Lieutenant/Adjutant
"Lloyd, Benjamin",U.S. Navy,Coal Heaver
"Lloyd, John W.",U.S. Navy,Coxswain
"Locke, Lewis",U.S. Army,Private
"Logan, Hugh",U.S. Navy,Captain of the Afterguard
"Lohnes, Francis W.",U.S. Army,Private
"Lonergan, John",U.S. Army,Captain
"Long, Oscar F.",U.S. Army,Second Lieutenant
"Longfellow, Richard M.",U.S. Army,Private
"Longshore, William H.",U.S. Army,Private
"Lonsway, Joseph",U.S. Army,Private
"Lopez, Baldomero",U.S. Marine Corps,First Lieutenant
"Lord, William",U.S. Army,Musician
"Loring, Charles J.",U.S. Air Force,Major
"Lorish, Andrew J.",U.S. Army,Commissary Sergeant
"Love, George M.",U.S. Army,Colonel
"Lovering, George M.",U.S. Army,First Sergeant
"Low, George",U.S. Navy,Seaman
"Lower, Cyrus B.",U.S. Army,Private
"Lower, Robert A.",U.S. Army,Private
"Lowthers, James",U.S. Army,Private
"Loyd, George",U.S. Army,Private
"Loyd, George",U.S. Army,Sergeant
"Lozada, Carlos James",U.S. Army,Private First Class
"Lucas, Andre C.",U.S. Army,Lieutenant Colonel
"Lucas, George W.",U.S. Army,Private
"Luce, Moses A.",U.S. Army,Sergeant
"Lucy, John",U.S. Navy,Second Class Boy
"Ludgate, William",U.S. Army,Captain
"Ludwig, Carl",U.S. Army,Private
